time,open,high,low,close,Volume,Volume MA,ATR
1740787200,2236.6,2245.6,2230.3,2235.78,35180.848,,
1740788580,2235.78,2238,2222.57,2229.41,28149.218,,
1740789960,2229.41,2229.88,2211.84,2213.94,42779.34,,
1740791340,2213.94,2225.98,2213.63,2220.16,14035.139,,
1740792720,2220.15,2249.99,2220.01,2248.85,50652.455,,
1740794100,2248.85,2263,2238.42,2249.6,61566.153,,
1740795480,2249.2,2274.3,2246.08,2261.56,65434.012,,
1740796860,2261.78,2267.77,2252.62,2254.99,39496.628,,
1740798240,2255,2258.3,2247.59,2253.54,29934.41,,
1740799620,2253.5,2267.74,2252.17,2262.13,38570.464,,
1740801000,2262.12,2273.55,2257.06,2272.06,40182.248,,
1740802380,2272.06,2276.11,2262.16,2266.5,44815.542,,
1740803760,2266.78,2279.75,2264.41,2269.88,47953.167,,
1740805140,2269.89,2270.86,2253.99,2255.36,28508.397,,17.712857142857143
1740806520,2255.19,2261.21,2251.45,2251.72,22163.529,,17.14479591836736
1740807900,2251.72,2258.52,2251.02,2257.35,19025.352,,16.455881924198263
1740809280,2257.35,2257.44,2236.42,2237.61,62585.513,,16.7818903581841
1740810660,2237.6,2240,2230,2234.5,43871.631,,16.29746961831381
1740812040,2234.5,2235.9,2225.29,2227,30753.557,,15.89122178843426
1740813420,2226.99,2229.15,2223.2,2224.7,28269.331,,15.181134517831833
1740814800,2224.71,2233.31,2224.43,2231.04,24573.84,,14.731053480843853
1740816180,2231.04,2238.77,2229.61,2236.58,41166.538,,14.333121089354995
1740817560,2236.58,2238.59,2225.81,2227.82,21456.505,,14.222183868686795
1740818940,2227.82,2235.43,2227.57,2235.24,23266.953,,13.767742163780571
1740820320,2235.09,2238.3,2232.14,2235.1,21136.635,,13.224332009224838
1740821700,2235.1,2236.25,2227.38,2230.68,23439.521,,12.913308294280199
1740823080,2230.67,2232.52,2215.87,2218.01,40688.75,,13.180214844688763
1740824460,2218.11,2220.39,2205.23,2210,70484.88,,13.321628070068126
1740825840,2210,2210.25,2192.31,2196.43,72889.347,38380.34148275862,13.651511779348978
1740827220,2196.43,2197.46,2170.3,2181.81,111963.719,41028.02668965517,14.616403795109756
1740828600,2181.9,2187.6,2180.18,2181.4,38147.71,41372.802275862065,14.102374952601922
1740829980,2181.39,2183.86,2170.15,2173.25,42562.595,41365.32831034482,14.074348170273215
1740831360,2173.24,2186.6,2173,2178.22,50194.606,42612.20648275861,14.040466158110835
1740832740,2178.21,2184.9,2176.73,2181.44,33671.284,42026.64886206895,13.62114714681721
1740834120,2181.6,2183.52,2151.07,2153.39,99454.291,43333.13637931033,14.966065207758826
1740835500,2153.42,2156.55,2141.64,2148.94,77408.258,43746.041413793086,14.96206055006179
1740836880,2149.09,2155.98,2142.5,2154.99,51427.282,44157.443275862046,14.856199082200234
1740838260,2154.99,2163.03,2153.14,2153.21,49205.474,44821.962724137906,14.501470576328813
1740839640,2153.43,2166.64,2151.74,2162.98,36324.507,44744.51593103446,14.529936963733904
1740841020,2163.12,2182.94,2157.5,2171.19,74056.273,45912.58575862067,15.309227180610057
1740842400,2171.34,2177.24,2163.23,2171.78,38997.629,45711.9680689655,15.216425239137893
1740843780,2171.77,2177.5,2168.17,2170.96,28978.113,45057.65586206895,14.795966293485181
1740845160,2170.98,2184.28,2170.98,2178.42,34380.55,45260.14389655171,14.690540129664823
1740846540,2178.42,2197.25,2171.01,2187.61,62079.495,46636.55651724136,15.515501548974465
1740847920,2187.6,2211,2185.92,2194.85,74842.927,48561.300482758605,16.198680009761997
1740849300,2194.92,2202.88,2189.36,2196.34,37928.735,47711.06675862068,16.007345723350422
1740850680,2196.44,2200.85,2192.12,2192.61,25705.782,47084.65817241377,15.487535314539679
1740852060,2192.81,2210.23,2192.24,2202.89,40938.424,47435.8604827586,15.666282792072577
1740853440,2202.61,2217.8,2201.13,2214.49,34578.323,47653.41193103447,15.737976878353113
1740854820,2214.4,2217.5,2207.7,2216.77,23931.223,47631.252724137914,15.313835672756474
1740856200,2216.77,2233.67,2216.28,2229.57,43136.385,47699.1784827586,15.462133124702431
1740857580,2229.57,2231.4,2218.24,2221.64,31454.412,48043.93389655171,15.297695044366565
1740858960,2221.64,2223.94,2214.17,2222.4,25879.979,48134.0382413793,14.902859684054665
1740860340,2222.4,2223.14,2216.37,2220.91,17114.503,47995.34403448275,14.321941135193615
1740861720,2220.9,2225,2219.68,2221.87,14794.597,47697.24320689654,13.678945339822656
1740863100,2221.87,2224.87,2207.33,2215.78,42998.205,47776.879586206895,13.95473495840675
1740864480,2215.46,2220.8,2211.39,2217.1,21527.539,46088.69541379311,13.630111032806289
1740865860,2217.32,2234.81,2217.31,2225.78,45794.305,45154.38362068965,13.921531673320128
1740867240,2225.77,2225.77,2210.01,2214.8,29889.242,42324.22924137931,14.053565125225832
1740868620,2214.8,2220.63,2211.03,2213.97,15546.641,41544.88203448276,13.735453330566838
1740870000,2213.97,2216.89,2190,2206.01,69942.274,42489.00889655173,14.675063806954912
1740871380,2205.96,2210.3,2202.86,2207.46,20696.05,41471.817310344835,14.158273535029565
1740872760,2207.47,2218.83,2206.64,2216.59,17897.527,40927.89465517242,14.017682568241742
1740873600,2216.6,2220.45,2207.66,2208.34,35864.426,38735.140689655185,13.929990956224472
1740874980,2208.34,2224.4,2202.27,2218.35,38389.909,37389.68037931036,14.515705887922731
1740876360,2218.1,2223.29,2213.47,2218.42,24070.006,36446.32603448277,14.18029832449969
1740877740,2218.42,2225.91,2209.98,2210.47,31933.591,35850.74386206897,14.305277015606844
1740879120,2210.48,2220.91,2208.15,2216.86,20795.974,35315.277206896564,14.194900085920624
1740880500,2216.64,2227.32,2215.04,2216.26,26301.297,33668.55389655173,14.058121508354878
1740881880,2216.05,2222.1,2200.22,2206.51,42721.655,33796.96858620691,14.616827114900966
1740883260,2206.51,2212.99,2203.75,2211.78,22433.994,33571.30931034484,14.232768035265167
1740884640,2211.79,2225.6,2211.46,2217.71,38142.858,33701.04406896553,14.226141747031932
1740886020,2217.78,2230.13,2215,2227.24,26240.925,32465.23131034484,14.290703050815372
1740887400,2227.19,2227.31,2218.55,2224.35,24707.885,30736.4367586207,13.895652832899971
1740888780,2224.36,2234.77,2218.06,2226.42,35859.565,30665.086068965527,14.096677630549976
1740890160,2226.33,2231.2,2222.68,2224.77,22931.441,30569.419137931043,13.69834351408212
1740891540,2224.77,2229.03,2222.83,2223.99,14578.71,29660.463482758627,13.162747548790561
1740892920,2223.99,2233.66,2223.38,2228.33,22073.105,29229.249068965524,12.956837009591217
1740894300,2228.33,2232.08,2225.55,2226.04,17187.64,28996.71172413794,12.497777223191827
1740895680,2226.04,2231.78,2217.11,2230.04,36522.158,28768.634931034492,12.652935992963846
1740897060,2229.95,2232.76,2222.32,2222.66,46962.977,29303.413034482768,12.494869136323574
1740898440,2222.64,2225.98,2217.5,2221.43,30542.262,29464.18141379311,12.20809276944332
1740899820,2221.43,2224.72,2219.25,2221.8,11501.708,29270.636758620694,11.726800428768783
1740901200,2221.8,2224.98,2218.12,2220.66,15486.561,29294.497586206904,11.37917182671388
1740902580,2220.66,2222.02,2210,2215.58,46885.653,29428.54751724139,11.424945267662888
1740903960,2215.57,2216.47,2206.89,2212.11,31874.586,29785.34224137932,11.29316346282982
1740905340,2212.31,2218.2,2210.76,2217.78,18579.961,28846.916586206906,11.01793750119909
1740906720,2217.78,2254.46,2215.61,2250.19,83961.3,30711.470310344837,13.005941965399147
1740908100,2250.19,2252.65,2239.36,2241.79,79879.31,32929.838206896566,13.026231825013491
1740909480,2241.8,2248.71,2239,2247.18,32015.725,31622.026172413807,12.789358123226817
1740910860,2247.19,2260.12,2242.29,2247.81,43693.525,32415.042551724153,13.149403971567754
1740912240,2247.8,2251.99,2241.34,2246.72,27444.992,32744.265482758634,12.970875116455746
1740913620,2246.72,2247.06,2235.32,2239.94,31896.644,32607.445413793117,12.88295546528032
1740915000,2239.94,2244,2238,2239.21,20506.302,31990.76931034484,12.391315789188868
1740916380,2239.09,2239.21,2224.31,2225.79,46518.722,32764.86296551725,12.570507518532526
1740917760,2225.78,2231.63,2221.95,2228.85,28447.092,32644.638862068972,12.364042695780224
1740919140,2229.04,2232.3,2226.15,2227.43,18016.8,32548.805275862076,11.920182503224499
1740920520,2227.42,2229,2210.04,2216.2,50628.343,33387.66893103449,12.423026610137038
1740921900,2216.21,2218.21,2207.91,2211.73,40538.909,33312.40182758621,12.271381852270121
1740923280,2212.03,2213.51,2201.15,2204.23,57061.202,34506.44348275863,12.277711719965122
1740924660,2204.23,2205.28,2171.18,2193.32,146744.207,38251.317586206904,13.836446597110497
1740926040,2193.57,2199.12,2180.57,2194.49,78923.097,40067.94420689656,14.173128983031157
1740927420,2194.5,2212.46,2191.24,2201.54,86682.275,42204.99213793104,14.676476912814664
1740928800,2201.54,2290.81,2200.61,2270.97,379396.781,54051.10303448276,20.071014276185032
1740930180,2269.7,2269.7,2212.05,2216.71,333133.829,64747.73710344828,22.845941827886072
1740931560,2216.62,2270.19,2212.8,2265.04,228013.671,72107.56334482759,25.313374554465632
1740932940,2264.93,2501.98,2261.36,2461.3,483692.445,88025.47162068966,40.69241922914665
1740934320,2462.97,2482.94,2395.59,2441.68,334583.171,98970.14510344827,44.02510356992189
1740935700,2441.59,2489.52,2439.04,2467.33,255002.619,106503.95410344828,44.48616760064176
1740937080,2467.84,2511.55,2453,2484.07,256627.75,113733.77386206898,45.49072705773879
1740938460,2483.96,2501.29,2460.05,2493.11,156332.886,118071.3815862069,45.187103696471716
1740939840,2493.35,2518.3,2453.01,2463.98,170578.958,123556.804,46.62302486100945
1740941220,2463.97,2484.03,2460.41,2471.07,73131.529,125544.56151724138,44.97995165665166
1740942600,2471,2484.27,2465,2482.83,49188.68,125623.97624137932,43.1435265383194
1740943980,2482.83,2498.78,2476.2,2482.48,55101.766,126424.91348275862,41.67470321415375
1740945360,2483.16,2507.67,2478.76,2499.82,67960.892,128127.70420689654,40.76293869885705
1740946740,2499.99,2519.87,2483.16,2492.29,101423.378,128729.8448275862,40.47344307751012
1740948120,2492.3,2517.79,2492.25,2508.6,54291.042,127847.49075862068,39.40676857197368
1740949500,2508.84,2522.51,2497.23,2505.9,66091.569,129022.51986206896,38.39771367397557
1740950880,2505.89,2539.98,2497.75,2519.63,88979.662,130584.11079310345,38.671448411548745
1740952260,2519.62,2528.01,2505.62,2518.18,43223.397,131128.19372413793,37.508487810723864
1740953640,2518.17,2520.6,2510.05,2511.85,26552.497,130943.91279310345,35.582881538529286
1740955020,2511.86,2548.43,2510.67,2537.56,57970.433,132235.77937931035,35.73839000006289
1740956400,2537.39,2549.9,2520.32,2521.12,88060.937,133668.26955172414,35.2985050000584
1740957780,2521.12,2526.38,2507.05,2519.85,64398.533,134907.9744137931,34.157897500054226
1740959160,2520,2521.59,2508.96,2517.12,16861.06,134868.1213103448,32.62019053576465
1740960000,2517.12,2522.84,2476,2484.59,121575.012,137314.5581724138,33.63589121178147
1740961380,2484.87,2492.38,2471.63,2482.81,59887.361,137981.74617241378,32.715470410939936
1740962760,2482.41,2482.41,2463.37,2473.28,53854.151,137871.15820689657,31.767222524444232
1740964140,2473.27,2474.58,2450.8,2458.74,57821.737,134804.86613793104,31.196706629841056
1740965520,2458.74,2469.34,2449.77,2460.29,47769.547,133730.60579310346,30.36622758485242
1740966900,2460.3,2465.31,2435,2435,66362.538,133029.92520689656,30.362211328791528
1740968280,2434.69,2444.08,2417.86,2435.94,83213.169,122816.69720689657,30.06633909102069
1740969660,2435.77,2454.4,2435.63,2448.24,51848.881,113117.21624137933,29.259457727376354
1740971040,2448.24,2448.25,2424.26,2424.8,50178.418,106984.96613793106,28.8830678897066
1740972420,2425.06,2439.78,2423.96,2434.92,35948.353,91545.5146896552,27.949991611870423
1740973800,2434.92,2441.73,2434.92,2436.02,20131.255,80702.34517241381,26.439992211022535
1740975180,2436.03,2448.4,2431.95,2440.59,31084.186,72981.01989655176,25.72642133880666
1740976560,2440.59,2451.79,2439,2449.88,22164.284,64896.07279310348,24.802391243177606
1740977940,2449.87,2456.95,2439.77,2441.12,26125.379,60406.158758620724,24.257934725807765
